,Symbols,Weights,Exp_Return,Std_Deviation,Sharpe
0,BAGIX,0.0136,0.010183434001139746,0.026237474328445573,0.3881255441610587
1,DFISX,0.4078,0.28592757988411455,0.06913298084433106,4.135907006931276
2,DODGX,0.0251,0.30480585903101876,0.08428747816427817,3.616265021441801
3,PLGIX,0.1861,0.3781103914076427,0.09085107739221608,4.161870197480326
4,VIIIX,0.3674,0.29436231849363437,0.06568200937032198,4.481627789947611
5,403b_6_months_target_opt,1.0,0.30290544849635953,0.060829129171373814,0.3136860573547604
6,BAGIX,0.1054,0.03240983937202302,0.027920629838124943,1.1607846799991657
7,DFISX,0.26,0.2838843520784061,0.07221257020807383,3.931231796076773
8,PLGIX,0.329,0.3329455541155413,0.08740263333722807,3.8093309252013947
9,RERGX,0.3055,0.29622863606201044,0.07401255211135896,4.002410775084558
10,403b_1_year_target_opt,1.0,0.2772628642311541,0.06041019984533589,0.28912201535628607
11,BAGIX,0.0986,0.02733437002384313,0.032862690709584044,0.8317751661117438
12,JDMNX,0.5869,0.16295826475113076,0.12100866519304622,1.3466660795833254
13,PLGIX,0.1297,0.17185729290103258,0.1356687075204,1.2667423169428442
14,SEECX,0.1847,0.1654015069320879,0.1287245652429794,1.284925737522418
15,403b_all_years_target_opt,1.0,0.15117492368641014,0.10887653375710847,0.08746719547301533
