,ticker,fundCategoryName,securityName,starRating,benchmarkIndex,Beta,Alpha
0,BAGIX,Intermediate-Term Bond,Baird Aggregate Bond Inst,4,BBgBarc US Agg Bond TR USD,1.00,0.49
1,DFISX,Foreign Small/Mid Blend,DFA International Small Company I,4,MSCI ACWI Ex USA NR USD,0.88,4.38
2,DODGX,Large Value,Dodge \u0026 Cox Stock,4,S&P 500 TR USD,1.16,1.08
3,PLGIX,Large Growth,Principal LargeCap Growth I Instl,4,S&P 500 TR USD,0.97,0.95
4,SEECX,Large Blend,Steward Large Cap Enhanced Index Inst,4,S&P 500 TR USD,1.02,-1.49
5,VIIIX,Large Blend,Vanguard Institutional Index Instl Pl,4,S&P 500 TR USD,1.00,-0.00
6,RERGX,Foreign Large Growth,American Funds Europacific Growth R6,4,MSCI ACWI Ex USA NR USD,0.88,1.32
7,JDMNX,Mid-Cap Growth,Janus Henderson Enterprise N,5,S&P 500 TR USD,0.85,4.73
8,DIBAX,World Bond,Dreyfus International Bond A,4,BBgBarc US Agg Bond TR USD,0.74,0.31
9,FINAX,Foreign Small/Mid Blend,Franklin Intl Small Cap Growth A,3,MSCI ACWI Ex USA NR USD,0.84,5.38
10,MAPTX,Pacific/Asia ex-Japan Stk,Matthews Pacific Tiger Investor,4,MSCI ACWI Ex USA NR USD,0.80,2.33
11,MDDVX,Large Value,BlackRock Equity Dividend Inv A,4,S&P 500 TR USD,0.96,1.89
12,MPACX,Diversified Pacific/Asia,Matthews Asia Growth Investor,4,MSCI ACWI Ex USA NR USD,0.87,3.70
13,SBFAX,Financial,1919 Financial Services A,5,MSCI ACWI NR USD,0.91,2.31
14,VDAIX,Large Blend,Vanguard Dividend Appreciation Index Inv,4,S&P 500 TR USD,0.87,0.21
15,VEIPX,Large Value,Vanguard Equity-Income Inv,5,S&P 500 TR USD,0.88,1.57
16,GRZZX,Bear Market,Grizzly Short,null,S&P 500 TR USD,-1.43,1.69
17,PTTAX,Intermediate-Term Bond,PIMCO Total Return A,4,BBgBarc US Agg Bond TR USD,0.74,-0.38
18,WHIYX,High Yield Bond,Ivy High Income Y,4,BBgBarc US Agg Bond TR USD,1.02,-1.13
19,MINDX,India Equity,Matthews India Investor,4,MSCI ACWI Ex USA NR USD,0.78,3.38
20,MPHQX,Intermediate-Term Bond,BlackRock Total Return K,4,BBgBarc US Agg Bond TR USD,0.97,0.54
21,VIGRX,Large Growth,Vanguard Growth Index Investor,4,S&P 500 TR USD,1.02,-2.09
22,VWINX,Allocation--30% to 50% Equity,Vanguard Wellesley® Income Inv,5,Morningstar Mod Tgt Risk TR USD,0.85,2.09
23,PCRAX,Commodities Broad Basket,PIMCO Commodity Real Ret Strat A,3,Morningstar Lng-Only Cmdty TR USD,1.07,0.71
24,PRTNX,Inflation-Protected Bond,PIMCO Real Return A,3,BBgBarc US Agg Bond TR USD,1.09,-0.57
25,NRAAX,Large Growth,Neuberger Berman Socially Rspns A,3,S&P 500 TR USD,0.95,-1.48
