,ticker,fundCategoryName,securityName,starRating,benchmarkIndex,R squared,Beta,Alpha,Treynor Ratio
0,BAGIX,Intermediate-Term Bond,Baird Aggregate Bond Inst,4,BBgBarc US Agg Bond TR USD,,1.00,0.49,—
1,DFISX,Foreign Small/Mid Blend,DFA International Small Company I,4,MSCI ACWI Ex USA NR USD,,0.87,4.81,—
2,PLGIX,Large Growth,Principal LargeCap Growth I Instl,4,S&P 500 TR USD,,0.96,1.56,—
3,RERGX,Foreign Large Growth,American Funds Europacific Growth R6,4,MSCI ACWI Ex USA NR USD,,0.90,1.16,—
4,SEECX,Large Blend,Steward Large Cap Enhanced Index Inst,4,S&P 500 TR USD,,1.02,-1.49,—
5,JDMNX,Mid-Cap Growth,Janus Henderson Enterprise N,5,S&P 500 TR USD,,0.85,5.28,—
6,DIBAX,World Bond,Dreyfus International Bond A,4,BBgBarc US Agg Bond TR USD,,0.73,0.53,—
7,FINAX,Foreign Small/Mid Blend,Franklin Intl Small Cap Growth A,3,MSCI ACWI Ex USA NR USD,,0.81,6.80,—
8,OAKIX,Foreign Large Blend,Oakmark International Investor,5,MSCI ACWI Ex USA NR USD,,1.12,3.63,—
9,PEMGX,Mid-Cap Growth,Principal MidCap A,5,S&P 500 TR USD,,0.97,2.13,—
10,PFUAX,World Bond,PIMCO Foreign Bond (Unhedged) A,3,BBgBarc US Agg Bond TR USD,,0.84,0.10,—
11,PTOAX,Large Blend,PIMCO StocksPLUS® Absolute Return A,4,S&P 500 TR USD,,1.18,-1.83,—
12,SBFAX,Financial,1919 Financial Services A,5,MSCI ACWI NR USD,,0.91,3.08,—
13,VEIPX,Large Value,Vanguard Equity-Income Inv,5,S&P 500 TR USD,,0.90,0.47,—
14,VWINX,Allocation--30% to 50% Equity,Vanguard Wellesley® Income Inv,5,Morningstar Mod Tgt Risk TR USD,,0.84,2.20,—
15,JHUAX,Large Growth,JHancock US Growth A,2,S&P 500 TR USD,,0.96,-2.38,—
16,JVIAX,Foreign Large Growth,Virtus Vontobel Foreign Opportunities A,3,MSCI ACWI Ex USA NR USD,,0.86,0.73,
17,LAFAX,Foreign Large Growth,Columbia Acorn International Sel A,3,MSCI ACWI Ex USA NR USD,,0.86,2.31,—
18,MAPTX,Pacific/Asia ex-Japan Stk,Matthews Pacific Tiger Investor,4,MSCI ACWI Ex USA NR USD,,0.80,1.14,—
19,MFBFX,Corporate Bond,MFS® Corporate Bond A,4,BBgBarc US Agg Bond TR USD,,0.92,0.34,—
20,PIPAX,Foreign Large Blend,PIMCO StocksPLUS® Intl (USD-Hedged) A,5,MSCI ACWI Ex USA NR USD,,0.93,3.59,—
21,VDAIX,Large Blend,Vanguard Dividend Appreciation Index Inv,4,S&P 500 TR USD,,0.87,0.24,—
22,VIGRX,Large Growth,Vanguard Growth Index Investor,4,S&P 500 TR USD,,1.02,-2.02,—
23,WHIYX,High Yield Bond,Ivy High Income Y,4,BBgBarc US Agg Bond TR USD,,1.03,-1.60,—
24,MINDX,India Equity,Matthews India Investor,5,MSCI ACWI Ex USA NR USD,,0.75,5.05,—
25,MPHQX,Intermediate-Term Bond,BlackRock Total Return K,4,BBgBarc US Agg Bond TR USD,,0.97,0.61,—
