,ticker,fundCategoryName,securityName,starRating,benchmarkIndex
0,TAHFX,High Yield Bond,Transamerica High Yield Bond R4,3,BBgBarc US Agg Bond TR USD
1,BAGIX,Intermediate-Term Bond,Baird Aggregate Bond Inst,4,BBgBarc US Agg Bond TR USD
2,DFISX,Foreign Small/Mid Blend,DFA International Small Company I,4,MSCI ACWI Ex USA NR USD
3,JDMNX,Mid-Cap Growth,Janus Henderson Enterprise N,5,S&P 500 TR USD
4,DODGX,Large Value,Dodge \u0026 Cox Stock,4,S&P 500 TR USD
5,RERGX,Foreign Large Growth,American Funds Europacific Growth R6,4,MSCI ACWI Ex USA NR USD
6,PLGIX,Large Growth,Principal LargeCap Growth I Instl,4,S&P 500 TR USD
7,VIIIX,Large Blend,Vanguard Institutional Index Instl Pl,4,S&P 500 TR USD
8,DFFVX,Small Value,DFA US Targeted Value I,3,S&P 500 TR USD
9,PSSAX,Bear Market,PIMCO StocksPLUS® Short A,null,S&P 500 TR USD
10,RFBSX,Short-Term Bond,Russell Inv Short Duration Bond S,3,BBgBarc US Agg Bond TR USD
11,EVGOX,Short Government,Eaton Vance Government Obligations A,5,BBgBarc US Agg Bond TR USD
12,NEFLX,Short Government,Loomis Sayles Ltd Term Govt and Agency A,4,BBgBarc US Agg Bond TR USD
13,GRZZX,Bear Market,Grizzly Short,null,S&P 500 TR USD
14,PBHAX,High Yield Bond,Prudential High-Yield A,5,BBgBarc US Agg Bond TR USD
15,IGDAX,Equity Precious Metals,Invesco Gold \u0026 Precious Metals A,4,MSCI ACWI NR USD
16,SGGDX,Equity Precious Metals,First Eagle Gold A,5,MSCI ACWI NR USD
17,MPACX,Diversified Pacific/Asia,Matthews Asia Growth Investor,4,MSCI ACWI Ex USA NR USD
18,SBFAX,Financial,1919 Financial Services A,5,MSCI ACWI NR USD
19,WHIYX,High Yield Bond,Ivy High Income Y,4,BBgBarc US Agg Bond TR USD
20,MDDVX,Large Value,BlackRock Equity Dividend Inv A,4,S&P 500 TR USD
21,SWPPX,Large Blend,Schwab® S\u0026P 500 Index,4,S&P 500 TR USD
22,VWINX,Allocation--30% to 50% Equity,Vanguard Wellesley® Income Inv,5,Morningstar Mod Tgt Risk TR USD
23,PTOAX,Large Blend,PIMCO StocksPLUS® Absolute Return A,4,S&P 500 TR USD
24,TPINX,World Bond,Templeton Global Bond A,4,BBgBarc US Agg Bond TR USD
25,MCHFX,China Region,Matthews China Investor,4,MSCI ACWI Ex USA NR USD
26,FINAX,Foreign Small/Mid Blend,Franklin Intl Small Cap Growth A,3,MSCI ACWI Ex USA NR USD
27,PIPAX,Foreign Large Blend,PIMCO StocksPLUS® Intl (USD-Hedged) A,5,MSCI ACWI Ex USA NR USD
28,WSTYX,Technology,Ivy Science And Technology Y,4,MSCI ACWI NR USD
29,MFBFX,Corporate Bond,MFS® Corporate Bond A,4,BBgBarc US Agg Bond TR USD
30,SFAAX,Allocation--50% to 70% Equity,Wells Fargo Index Asset Allocation A,5,Morningstar Mod Tgt Risk TR USD
31,PTTAX,Intermediate-Term Bond,PIMCO Total Return A,4,BBgBarc US Agg Bond TR USD
32,DIBAX,World Bond,Dreyfus International Bond A,4,BBgBarc US Agg Bond TR USD
33,PFUAX,World Bond,PIMCO Foreign Bond (Unhedged) A,3,BBgBarc US Agg Bond TR USD
34,PCKAX,Small Blend,PIMCO StocksPLUS® Small A,4,S&P 500 TR USD
35,VDAIX,Large Blend,Vanguard Dividend Appreciation Index Inv,4,S&P 500 TR USD
36,SWLBX,,,,
37,JHUAX,Large Growth,JHancock US Growth A,2,S&P 500 TR USD
38,IPFIX,Short Government,Victory INCORE Fund for Income A,5,BBgBarc US Agg Bond TR USD
39,VIPSX,Inflation-Protected Bond,Vanguard Inflation-Protected Secs Inv,4,BBgBarc US Agg Bond TR USD
40,OAKIX,Foreign Large Blend,Oakmark International Investor,5,MSCI ACWI Ex USA NR USD
41,JLTSX,,,,
42,JGMAX,Small Growth,Janus Henderson Triton A,4,S&P 500 TR USD
43,VIGRX,Large Growth,Vanguard Growth Index Investor,4,S&P 500 TR USD
44,FHAIX,High Yield Bond,Franklin High Income A,2,BBgBarc US Agg Bond TR USD
