,benchmark percentage,fund percentage,holding,sector,ticker
0,"440.73 
						Mil",MFS® Total Return Bond R6,1,,MACFX
1,"293.99 
						Mil",MFS® Inflation-Adjusted Bond R6,2,,MACFX
2,"293.73 
						Mil",MFS® Government Securities R6,3,,MACFX
3,"293.18 
						Mil",MFS® Limited Maturity R6,4,,MACFX
4,"177.94 
						Mil",MFS® Growth R6,5,,MACFX
5,,% Assets in Top 5 Holdings,6,,MACFX
6,"580.87 
						Mil",MFS® Government Securities R6,1,,MAMAX
7,"468.75 
						Mil",MFS® Growth R6,2,,MAMAX
8,"466.86 
						Mil",MFS® Research R6,3,,MAMAX
9,"464.95 
						Mil",MFS® Total Return Bond R6,4,,MAMAX
10,"462.07 
						Mil",MFS® Value R6,5,,MAMAX
11,,% Assets in Top 5 Holdings,6,,MAMAX
12,"554.65 
						Mil",MFS® Growth R6,1,,MAGWX
13,"546.43 
						Mil",MFS® Value R6,2,,MAGWX
14,"453.82 
						Mil",MFS® Mid Cap Growth R6,3,,MAGWX
15,"446.32 
						Mil",MFS® Mid Cap Value R6,4,,MAGWX
16,"401.41 
						Mil",MFS® Research R6,5,,MAGWX
17,,% Assets in Top 5 Holdings,6,,MAGWX
18,"223.04 
						Mil",MFS® Growth R6,1,,MAAGX
19,"219.42 
						Mil",MFS® Value R6,2,,MAAGX
20,"171.55 
						Mil",MFS® Mid Cap Growth R6,3,,MAAGX
21,"168.59 
						Mil",MFS® Mid Cap Value R6,4,,MAAGX
22,"153.45 
						Mil",MFS® Research R6,5,,MAAGX
23,,% Assets in Top 5 Holdings,6,,MAAGX
24,,17.77,1,Financial Services,VEIPX
25,,13.97,2,Healthcare,VEIPX
26,,13.85,3,Technology,VEIPX
27,,13.10,4,Consumer Defensive,VEIPX
28,,11.83,5,Industrials,VEIPX
29,,19.88,1,Technology,SWPPX
30,,16.33,2,Financial Services,SWPPX
31,,14.79,3,Healthcare,SWPPX
32,,11.03,4,Consumer Cyclical,SWPPX
33,,10.55,5,Industrials,SWPPX
34,,29.16,1,Technology,VIGRX
35,,17.54,2,Consumer Cyclical,VIGRX
36,,14.68,3,Healthcare,VIGRX
37,,8.62,4,Industrials,VIGRX
38,,8.55,5,Consumer Defensive,VIGRX
39,,26.03,1,Financial Services,MSAVX
40,,14.49,2,Industrials,MSAVX
41,,13.34,3,Technology,MSAVX
42,,10.09,4,Consumer Cyclical,MSAVX
43,,8.09,5,Basic Materials,MSAVX
44,,16.58,1,Technology,VEXMX
45,,15.52,2,Financial Services,VEXMX
46,,14.34,3,Consumer Cyclical,VEXMX
47,,13.48,4,Industrials,VEXMX
48,,10.86,5,Healthcare,VEXMX
49,,19.61,1,Industrials,PEEAX
50,,19.04,2,Technology,PEEAX
51,,15.31,3,Healthcare,PEEAX
52,,15.27,4,Consumer Cyclical,PEEAX
53,,8.68,5,Consumer Defensive,PEEAX
54,,28.82,1,Financial Services,DEVLX
55,,14.89,2,Technology,DEVLX
56,,14.40,3,Consumer Cyclical,DEVLX
57,,12.79,4,Industrials,DEVLX
58,,8.32,5,Real Estate,DEVLX
59,,17.55,1,Financial Services,SWSSX
60,,16.88,2,Technology,SWSSX
61,,14.17,3,Industrials,SWSSX
62,,13.92,4,Healthcare,SWSSX
63,,12.02,5,Consumer Cyclical,SWSSX
64,,25.60,1,Technology,JGMAX
65,,24.05,2,Industrials,JGMAX
66,,16.92,3,Healthcare,JGMAX
67,,13.95,4,Consumer Cyclical,JGMAX
68,,8.63,5,Financial Services,JGMAX
69,,31.88,1,Consumer Defensive,MGIAX
70,,18.00,2,Technology,MGIAX
71,,16.49,3,Industrials,MGIAX
72,,10.44,4,Financial Services,MGIAX
73,,5.75,5,Healthcare,MGIAX
74,,—,1,Basic Materials,PIPAX
75,,—,2,Consumer Cyclical,PIPAX
76,,—,3,Financial Services,PIPAX
77,,—,4,Real Estate,PIPAX
78,,—,5,Communication Services,PIPAX
79,,26.29,1,Consumer Cyclical,ODMAX
80,,21.86,2,Financial Services,ODMAX
81,,18.92,3,Technology,ODMAX
82,,12.50,4,Consumer Defensive,ODMAX
83,,5.78,5,Basic Materials,ODMAX
84,4.74,34.52,1,Agency MBS CMO,NEFLX
85,57.28,21.53,2,U.S. Treasury,NEFLX
86,2.87,15.35,3,Agency MBS ARM,NEFLX
87,8.55,13.60,4,Agency MBS Pass-Through,NEFLX
88,7.30,4.76,5,Commercial MBS,NEFLX
89,14.70,34.30,1,Commercial MBS,PTTAX
90,31.79,21.40,2,Corporate Bond,PTTAX
91,12.18,16.03,3,Agency MBS Pass-Through,PTTAX
92,22.13,14.58,4,U.S. Treasury,PTTAX
93,5.93,8.13,5,Asset-Backed,PTTAX
94,,40.89,1,Technology,SWLBX
95,,18.58,2,Consumer Cyclical,SWLBX
96,,17.53,3,Financial Services,SWLBX
97,,8.70,4,Healthcare,SWLBX
98,,5.62,5,Industrials,SWLBX
99,86.50,75.63,1,Corporate Bond,WHIYX
100,0.63,10.50,2,Bank Loan,WHIYX
101,0.62,0.69,3,Convertible,WHIYX
102,0.47,0.31,4,Commercial MBS,WHIYX
103,0.64,0.07,5,Asset-Backed,WHIYX
104,"13.83 
						Mil",Schwab US Aggregate Bond Index,1,,SWBRX
105,"7.17 
						Mil",Schwab® S&P 500 Index,2,,SWBRX
106,"5.66 
						Mil",Schwab Short-Term Bond Index,3,,SWBRX
107,"5.52 
						Mil",Metropolitan West Total Return Bd I,4,,SWBRX
108,"3.68 
						Mil",Schwab® Treasury Infl Protected Secs Idx,5,,SWBRX
109,,% Assets in Top 5 Holdings,6,,SWBRX
110,"104.99 
						Mil",Schwab US Aggregate Bond Index,1,,SWCRX
111,"82.57 
						Mil",Schwab® S&P 500 Index,2,,SWCRX
112,"50.05 
						Mil",Metropolitan West Total Return Bd I,3,,SWCRX
113,"45.49 
						Mil",Schwab Core Equity,4,,SWCRX
114,"41.12 
						Mil",Laudus International MarketMasters Sel,5,,SWCRX
115,,% Assets in Top 5 Holdings,6,,SWCRX
116,"158.40 
						Mil",Schwab® S&P 500 Index,1,,SWDRX
117,"106.63 
						Mil",Schwab Core Equity,2,,SWDRX
118,"97.57 
						Mil",Schwab US Aggregate Bond Index,3,,SWDRX
119,"95.96 
						Mil",Laudus International MarketMasters Sel,4,,SWDRX
120,"62.31 
						Mil",Schwab® International Core Equity,5,,SWDRX
121,,% Assets in Top 5 Holdings,6,,SWDRX
122,"172.67 
						Mil",Schwab® S&P 500 Index,1,,SWERX
123,"127.80 
						Mil",Schwab Core Equity,2,,SWERX
124,"118.81 
						Mil",Laudus International MarketMasters Sel,3,,SWERX
125,"78.78 
						Mil",Schwab® International Core Equity,4,,SWERX
126,"55.15 
						Mil",Laudus US Large Cap Growth,5,,SWERX
127,,% Assets in Top 5 Holdings,6,,SWERX
128,,27.26,1,Financial Services,MDDVX
129,,16.89,2,Healthcare,MDDVX
130,,11.77,3,Industrials,MDDVX
131,,11.00,4,Energy,MDDVX
132,,10.59,5,Technology,MDDVX
133,,25.56,1,Financial Services,OAEIX
134,,12.93,2,Energy,OAEIX
135,,12.70,3,Healthcare,OAEIX
136,,12.01,4,Technology,OAEIX
137,,7.71,5,Consumer Cyclical,OAEIX
138,,35.25,1,Technology,JHUAX
139,,23.25,2,Healthcare,JHUAX
140,,17.70,3,Consumer Cyclical,JHUAX
141,,16.01,4,Financial Services,JHUAX
142,,3.47,5,Industrials,JHUAX
143,,—,1,Basic Materials,PTOAX
144,,—,2,Consumer Cyclical,PTOAX
145,,—,3,Financial Services,PTOAX
146,,—,4,Real Estate,PTOAX
147,,—,5,Communication Services,PTOAX
148,,29.21,1,Industrials,VDAIX
149,,16.89,2,Healthcare,VDAIX
150,,15.81,3,Consumer Defensive,VDAIX
151,,11.55,4,Technology,VDAIX
152,,9.96,5,Financial Services,VDAIX
153,,37.54,1,Technology,DWOAX
154,,16.90,2,Healthcare,DWOAX
155,,15.38,3,Consumer Cyclical,DWOAX
156,,9.25,4,Industrials,DWOAX
157,,7.45,5,Consumer Defensive,DWOAX
158,,30.47,1,Financial Services,HWAAX
159,,26.01,2,Technology,HWAAX
160,,15.01,3,Industrials,HWAAX
161,,9.50,4,Consumer Cyclical,HWAAX
162,,7.46,5,Energy,HWAAX
163,,24.57,1,Financial Services,JVMAX
164,,17.62,2,Technology,JVMAX
165,,15.20,3,Industrials,JVMAX
166,,10.42,4,Consumer Cyclical,JVMAX
167,,8.77,5,Energy,JVMAX
168,,17.12,1,Technology,NTIAX
169,,16.49,2,Industrials,NTIAX
170,,16.13,3,Financial Services,NTIAX
171,,12.64,4,Consumer Cyclical,NTIAX
172,,9.22,5,Real Estate,NTIAX
173,,16.24,1,Technology,PEXMX
174,,15.77,2,Financial Services,PEXMX
175,,14.46,3,Consumer Cyclical,PEXMX
176,,13.55,4,Industrials,PEXMX
177,,11.00,5,Healthcare,PEXMX
178,,37.36,1,Technology,DBMAX
179,,21.58,2,Healthcare,DBMAX
180,,13.37,3,Industrials,DBMAX
181,,11.20,4,Consumer Cyclical,DBMAX
182,,5.08,5,Basic Materials,DBMAX
183,,22.00,1,Financial Services,PEMGX
184,,18.73,2,Consumer Cyclical,PEMGX
185,,15.33,3,Industrials,PEMGX
186,,11.13,4,Technology,PEMGX
187,,9.77,5,Real Estate,PEMGX
188,,27.80,1,Financial Services,BPSCX
189,,16.62,2,Industrials,BPSCX
190,,14.98,3,Consumer Cyclical,BPSCX
191,,9.08,4,Technology,BPSCX
192,,8.05,5,Healthcare,BPSCX
193,,—,1,Basic Materials,PCKAX
194,,—,2,Consumer Cyclical,PCKAX
195,,—,3,Financial Services,PCKAX
196,,—,4,Real Estate,PCKAX
197,,—,5,Communication Services,PCKAX
198,,30.79,1,Financial Services,RYDVX
199,,28.21,2,Industrials,RYDVX
200,,11.93,3,Consumer Cyclical,RYDVX
201,,11.42,4,Basic Materials,RYDVX
202,,6.04,5,Technology,RYDVX
203,,21.60,1,Financial Services,IIVAX
204,,15.82,2,Technology,IIVAX
205,,14.77,3,Consumer Cyclical,IIVAX
206,,10.88,4,Industrials,IIVAX
207,,8.87,5,Utilities,IIVAX
208,,35.94,1,Technology,SASMX
209,,16.73,2,Healthcare,SASMX
210,,15.96,3,Industrials,SASMX
211,,11.20,4,Consumer Cyclical,SASMX
212,,8.06,5,Financial Services,SASMX
213,,34.73,1,Financial Services,AFJAX
214,,12.39,2,Technology,AFJAX
215,,10.57,3,Consumer Cyclical,AFJAX
216,,8.65,4,Industrials,AFJAX
217,,8.33,5,Consumer Defensive,AFJAX
218,,17.88,1,Industrials,ICEVX
219,,15.05,2,Financial Services,ICEVX
220,,15.05,3,Technology,ICEVX
221,,11.26,4,Healthcare,ICEVX
222,,11.18,5,Basic Materials,ICEVX
223,,30.34,1,Financial Services,MDLTX
224,,20.43,2,Consumer Defensive,MDLTX
225,,13.62,3,Basic Materials,MDLTX
226,,9.86,4,Energy,MDLTX
227,,9.38,5,Consumer Cyclical,MDLTX
228,,32.63,1,Financial Services,OAKIX
229,,27.74,2,Consumer Cyclical,OAKIX
230,,18.38,3,Industrials,OAKIX
231,,9.81,4,Basic Materials,OAKIX
232,,5.53,5,Consumer Defensive,OAKIX
233,,21.50,1,Financial Services,SWISX
234,,13.28,2,Industrials,SWISX
235,,11.61,3,Consumer Defensive,SWISX
236,,11.51,4,Consumer Cyclical,SWISX
237,,10.76,5,Healthcare,SWISX
238,,21.33,1,Financial Services,VGTSX
239,,12.42,2,Industrials,VGTSX
240,,10.93,3,Technology,VGTSX
241,,10.89,4,Consumer Cyclical,VGTSX
242,,9.84,5,Consumer Defensive,VGTSX
243,,23.31,1,Consumer Cyclical,OIGAX
244,,20.16,2,Technology,OIGAX
245,,15.58,3,Consumer Defensive,OIGAX
246,,13.40,4,Industrials,OIGAX
247,,11.39,5,Healthcare,OIGAX
248,,32.55,1,Consumer Defensive,JVIAX
249,,17.41,2,Financial Services,JVIAX
250,,15.28,3,Consumer Cyclical,JVIAX
251,,12.75,4,Technology,JVIAX
252,,9.34,5,Industrials,JVIAX
253,,24.64,1,Industrials,GICAX
254,,16.72,2,Consumer Cyclical,GICAX
255,,13.14,3,Technology,GICAX
256,,12.35,4,Basic Materials,GICAX
257,,9.39,5,Real Estate,GICAX
258,,18.93,1,Industrials,SGOVX
259,,16.16,2,Basic Materials,SGOVX
260,,14.89,3,Consumer Defensive,SGOVX
