,30-Day SEC Yield,Category,Credit Quality/Interest Rate Sensitivity,Expenses,Fee Level,Investment Style,Load,Min. Inv.,Status,TTM Yield,Ticker,Total Assets,Total Mkt Val,Turnover
0,2.57%,Intermediate-TermBond,Mid/Moderate,0.30%,Low,,None,"25,000",Open,2.52%,BAGIX,14.4bil,16.8bil,36%
1,--,ForeignSmall/MidBlend,Mid/Moderate,0.53%,Low,MidBlend,None,--,Open,1.52%,DFISX,13.6bil,16.8bil,--
2,--,LargeGrowth,Mid/Moderate,0.62%,BelowAverage,LargeGrowth,None,--,Open,0.06%,PLGIX,8.1bil,16.8bil,33%
3,1.08%,ForeignLargeGrowth,Mid/Moderate,0.50%,Low,LargeGrowth,None,250,Open,1.55%,RERGX,159.7bil,16.8bil,36%
4,1.18%,LargeBlend,Mid/Moderate,0.50%,Low,LargeBlend,None,"100,000",Open,1.19%,SEECX,393.2mil,16.8bil,25%
5,--,Mid-CapGrowth,Mid/Moderate,0.68%,Low,MidGrowth,None,--,Limited,0.17%,JDMNX,16.1bil,16.8bil,10%
6,1.20%,WorldBond,Low/Extensive,1.02%,Average,MidGrowth,4.50,"1,000",Open,0.60%,DIBAX,842.9mil,16.8bil,127%
7,--,ForeignSmall/MidBlend,Low/Extensive,1.38%,BelowAverage,MidBlend,5.75,"1,000",Limited,0.76%,FINAX,1.5bil,16.8bil,22%
8,--,BearMarket,--,1.67%,BelowAverage,--,None,"10,000",Open,0.00%,GRZZX,203.0mil,16.8bil,0%
9,--,DiversifiedPacific/Asia,--,1.14%,Average,LargeGrowth,None,"2,500",Open,0.83%,MPACX,801.9mil,16.8bil,14%
10,--,ForeignLargeBlend,--,1.00%,Average,LargeBlend,None,"1,000",Open,0.00%,OAKIX,42.1bil,16.8bil,41%
11,--,Mid-CapGrowth,--,0.99%,Low,MidGrowth,5.50,"1,000",Limited,0.11%,PEMGX,15.7bil,16.8bil,22%
12,--,Financial,--,1.42%,Average,LargeValue,5.50,"2,500",Open,1.38%,PFSAX,183.8mil,16.8bil,68%
13,1.47%,LargeBlend,--,1.04%,BelowAverage,LargeBlend,3.75,"1,000",Open,0.87%,PTOAX,1.6bil,16.8bil,339%
14,1.93%,Intermediate-TermBond,--,0.80%,Average,LargeBlend,3.75,"1,000",Open,2.31%,PTTAX,73.6bil,16.8bil,521%
15,--,Financial,--,1.46%,AboveAverage,MidBlend,5.75,"1,000",Open,0.23%,SBFAX,249.9mil,16.8bil,8%
16,2.50%,LargeValue,--,0.26%,Low,LargeValue,None,"3,000",Open,2.42%,VEIPX,30.9bil,16.8bil,28%
17,2.64%,Allocation--30%to50%Equity,Mid/Moderate,0.22%,Low,LargeValue,None,"3,000",Open,2.84%,VWINX,55.5bil,16.8bil,22%
18,--,LargeGrowth,Mid/Moderate,1.17%,AboveAverage,LargeGrowth,5.00,"1,000",Open,0.71%,JHUAX,121.4mil,16.8bil,112%
19,--,ForeignLargeGrowth,Mid/Moderate,1.43%,AboveAverage,LargeGrowth,5.75,"2,500",Open,0.50%,JVIAX,1.5bil,16.8bil,25%
20,--,ForeignLargeGrowth,Mid/Moderate,1.40%,AboveAverage,LargeGrowth,5.75,"2,000",Open,0.48%,LAFAX,128.1mil,16.8bil,49%
21,--,Pacific/Asiaex-JapanStk,Mid/Moderate,1.08%,Low,LargeGrowth,None,"2,500",Open,0.41%,MAPTX,9.2bil,16.8bil,6%
22,--,CorporateBond,Mid/Extensive,0.81%,BelowAverage,LargeGrowth,4.25,"1,000",Open,3.11%,MFBFX,5.0bil,16.8bil,28%
23,1.54%,ForeignLargeBlend,Mid/Extensive,1.15%,BelowAverage,LargeBlend,3.75,"1,000",Open,5.37%,PIPAX,3.2bil,16.8bil,256%
24,1.78%,LargeBlend,Mid/Extensive,0.17%,Low,LargeBlend,None,"3,000",Open,1.85%,VDAIX,33.5bil,16.8bil,19%
25,7.64%,HighYieldBond,Low/Limited,0.96%,High,LargeBlend,None,--,Open,6.97%,WHIYX,4.2bil,16.8bil,20%
26,--,IndiaEquity,Low/Limited,1.12%,BelowAverage,LargeGrowth,None,"2,500",Open,0.00%,MINDX,2.2bil,16.8bil,16%
27,3.21%,Intermediate-TermBond,Mid/Moderate,0.40%,Low,LargeGrowth,None,5.0mil,Open,3.18%,MPHQX,11.6bil,16.8bil,806%
28,1.10%,LargeGrowth,Mid/Moderate,0.18%,Low,LargeGrowth,None,"3,000",Open,1.08%,VIGRX,72.7bil,16.8bil,11%
29,5.94%,CommoditiesBroadBasket,--,1.19%,BelowAverage,--,5.50,"1,000",Open,5.89%,PCRAX,6.2bil,16.8bil,176%
30,2.11%,BearMarket,--,1.04%,Low,--,3.75,"1,000",Open,1.31%,PSSAX,2.2bil,16.8bil,237%
