,benchmark percentage,fund percentage,holding,sector,ticker
0,32.19,43.85,1,Corporate Bond,BAGIX
1,12.55,19.97,2,Agency MBS Pass-Through,BAGIX
2,22.58,16.72,3,U.S. Treasury,BAGIX
3,15.09,4.99,4,Commercial MBS,BAGIX
4,6.05,4.47,5,Asset-Backed,BAGIX
5,"-3.75 
						Mil",Guidewire Software Inc,1,,GRZZX
6,"-3.72 
						Mil",Tableau Software Inc A,2,,GRZZX
7,"-3.67 
						Mil",Markel Corp,3,,GRZZX
8,"-3.58 
						Mil",Splunk Inc,4,,GRZZX
9,"-3.53 
						Mil",Ball Corp,5,,GRZZX
10,,% Assets in Top 5 Holdings,6,,GRZZX
11,,—,1,Basic Materials,PCKAX
12,,—,2,Consumer Cyclical,PCKAX
13,,—,3,Financial Services,PCKAX
14,,—,4,Real Estate,PCKAX
15,,—,5,Communication Services,PCKAX
