,BAGIX,VAR,,JDMNX
1/4/2016,10.188462,,,83.599388
1/5/2016,10.178878,-0.009584,,83.717232
1/6/2016,10.217214,0.038336,,82.578087
1/7/2016,10.226799,0.009585,,80.555122
1/8/2016,10.236387,0.009588,,79.789154
1/11/2016,10.226799,-0.009588,,79.229401
1/12/2016,10.255551,0.028752,,79.956093
1/13/2016,10.265139,0.009588,,78.080437
1/14/2016,10.24597,-0.019169,,79.101738
1/15/2016,10.265139,0.019169,,77.805473
1/19/2016,10.255551,-0.009588,,77.540321
1/20/2016,10.265139,0.009588,,77.373383
1/21/2016,10.255551,-0.009588,,77.383202
1/22/2016,10.24597,-0.009581,,79.072273
1/25/2016,10.251731,0.005761,,77.815285
1/26/2016,10.261328,0.009597,,78.87587
1/27/2016,10.261328,0,,78.109894
1/28/2016,10.261328,0,,78.070618
1/29/2016,10.290124,0.028796,,80.024834
2/1/2016,10.270927,-0.019197,,80.280159
2/2/2016,10.318921,0.047994,,78.630363
2/3/2016,10.299724,-0.019197,,78.679474
2/4/2016,10.309321,0.009597,,79.170479
2/5/2016,10.309321,0,,77.461761
2/8/2016,10.347718,0.038397,,75.664665
2/9/2016,10.347718,0,,75.890526
2/10/2016,10.357319,0.009601,,76.430641
2/11/2016,10.366917,0.009598,,75.792328
2/12/2016,10.318921,-0.047996,,76.784172
2/16/2016,10.309321,-0.0096,,78.699104
2/17/2016,10.299724,-0.009597,,80.152504
2/18/2016,10.328522,0.028798,,79.926636
2/19/2016,10.338122,0.0096,,80.073936
2/22/2016,10.338122,0,,80.898834
2/23/2016,10.347718,0.009596,,80.103394
2/24/2016,10.347718,0,,80.614044
2/25/2016,10.370809,0.023091,,81.497864
2/26/2016,10.341948,-0.028861,,81.880852
2/29/2016,10.351565,0.009617,,81.45858
3/1/2016,10.322703,-0.028862,,82.99054
3/2/2016,10.322703,0,,83.177116
3/3/2016,10.341948,0.019245,,83.73687
3/4/2016,10.322703,-0.019245,,84.080582
3/7/2016,10.322703,0,,84.257347
3/8/2016,10.361188,0.038485,,83.049461
3/9/2016,10.332329,-0.028859,,83.236046
3/10/2016,10.332329,0,,83.069092
3/11/2016,10.322703,-0.009626,,84.365372
3/14/2016,10.341948,0.019245,,84.24752
3/15/2016,10.341948,0,,83.844894
3/16/2016,10.361188,0.01924,,84.375183
3/17/2016,10.390051,0.028863,,85.003677
3/18/2016,10.409287,0.019236,,85.681274
3/21/2016,10.390051,-0.019236,,85.828575
3/22/2016,10.390051,0,,85.887497
3/23/2016,10.428531,0.03848,,85.317924
3/24/2016,10.409287,-0.019244,,85.33757
3/28/2016,10.429532,0.020245,,85.553612
3/29/2016,10.458448,0.028916,,86.800774
3/30/2016,10.448812,-0.009636,,87.095383
3/31/2016,10.477726,0.028914,,87.478371
4/1/2016,10.477726,0,,88.018478
4/4/2016,10.487367,0.009641,,87.370346
4/5/2016,10.516283,0.028916,,86.398148
4/6/2016,10.497005,-0.019278,,87.399811
4/7/2016,10.535563,0.038558,,86.299942
4/8/2016,10.516283,-0.01928,,86.535637
4/11/2016,10.516283,0,,86.37851
4/12/2016,10.497005,-0.019278,,86.879341
4/13/2016,10.516283,0.019278,,88.195244
4/14/2016,10.506645,-0.009638,,88.008667
