date,BTC,ETH
2010-07-16,0.04951,
2010-07-17,0.05941,
2010-07-18,0.07723,
2010-07-19,0.07426,
2010-07-20,0.06634,
2010-07-21,0.0505,
2010-07-22,0.0505,
2010-07-23,0.05049,
2010-07-24,0.0505,
2010-07-25,0.05,
2010-07-26,0.053,
2010-07-27,0.054,
2010-07-28,0.0571,
2010-07-29,0.0582,
2010-07-30,0.056,
2010-07-31,0.06,
2010-08-01,0.06,
2010-08-02,0.059,
2010-08-03,0.057,
2010-08-04,0.058,
2010-08-05,0.0607,
2010-08-06,0.059,
2010-08-07,0.059,
2010-08-08,0.0593,
2010-08-09,0.06651,
2010-08-10,0.06,
2010-08-11,0.06141,
2010-08-12,0.0645,
2010-08-13,0.0645,
2010-08-14,0.065,
2010-08-15,0.062,
2010-08-16,0.06243,
2010-08-17,0.067,
2010-08-18,0.0667,
2010-08-19,0.065,
2010-08-20,0.0644,
2010-08-21,0.0612,
2010-08-22,0.063,
2010-08-23,0.06491,
2010-08-24,0.0641,
2010-08-25,0.064,
2010-08-26,0.063,
2010-08-27,0.0641,
2010-08-28,0.064,
2010-08-29,0.03211,
2010-08-30,0.06,
2010-08-31,0.05961,
2010-09-01,0.0601,
2010-09-02,0.06085,
2010-09-03,0.0612,
2010-09-04,0.0605,
2010-09-05,0.0616,
2010-09-06,0.0603,
2010-09-07,0.06099,
2010-09-08,0.06109,
2010-09-09,0.06014,
2010-09-10,0.0619,
2010-09-11,0.0615,
2010-09-12,0.0607,
2010-09-13,0.061,
2010-09-14,0.0604,
2010-09-15,0.0618,
2010-09-16,0.059,
2010-09-17,0.05761,
2010-09-18,0.06,
2010-09-19,0.062,
2010-09-20,0.0623,
2010-09-21,0.06147,
2010-09-22,0.0615,
2010-09-23,0.06209,
2010-09-24,0.0617,
2010-09-25,0.06186,
2010-09-26,0.0619,
2010-09-27,0.0617,
2010-09-28,0.0615,
2010-09-29,0.06155,
2010-09-30,0.06189,
2010-10-01,0.06125,
2010-10-02,0.061,
2010-10-03,0.06081,
2010-10-04,0.0609,
2010-10-05,0.0612,
2010-10-06,0.0628,
2010-10-07,0.01,
2010-10-08,0.068,
2010-10-09,0.07999,
2010-10-10,0.091,
2010-10-11,0.082,
2010-10-12,0.092,
2010-10-13,0.065,
2010-10-14,0.092,
2010-10-15,0.1,
2010-10-16,0.1,
2010-10-17,0.097,
2010-10-18,0.097,
2010-10-19,0.094,
2010-10-20,0.097,
2010-10-21,0.1015,
2010-10-22,0.1045,
2010-10-23,0.108,
2010-10-24,0.09009,
2010-10-25,0.133,
2010-10-26,0.151,
2010-10-27,0.1731,
2010-10-28,0.173,
2010-10-29,0.1875,
2010-10-30,0.171,
2010-10-31,0.172,
2010-11-01,0.1905,
2010-11-02,0.125,
2010-11-03,0.1934,
2010-11-04,0.2101,
2010-11-05,0.2402,
2010-11-06,0.286,
2010-11-07,0.2261,
2010-11-08,0.199,
2010-11-09,0.14,
2010-11-10,0.21,
2010-11-11,0.223,
2010-11-12,0.2683,
2010-11-13,0.2702,
2010-11-14,0.2682,
2010-11-15,0.223,
2010-11-16,0.2116,
2010-11-17,0.2221,
2010-11-18,0.2682,
2010-11-19,0.2682,
2010-11-20,0.2763,
2010-11-21,0.269,
2010-11-22,0.276,
2010-11-23,0.2761,
2010-11-24,0.278,
2010-11-25,0.2761,
2010-11-26,0.2826,
2010-11-27,0.27,
2010-11-28,0.2151,
2010-11-29,0.204,
2010-11-30,0.2095,
2010-12-01,0.218,
2010-12-02,0.243,
2010-12-03,0.205,
2010-12-04,0.19,
2010-12-05,0.1841,
2010-12-06,0.1701,
2010-12-07,0.22,
2010-12-08,0.1701,
2010-12-09,0.1825,
2010-12-10,0.1907,
2010-12-11,0.2068,
2010-12-12,0.21,
2010-12-13,0.21,
2010-12-14,0.238,
2010-12-15,0.2222,
2010-12-16,0.24,
2010-12-17,0.241,
2010-12-18,0.24,
2010-12-19,0.24,
2010-12-20,0.24,
2010-12-21,0.244,
2010-12-22,0.241,
2010-12-23,0.242,
2010-12-24,0.2475,
2010-12-25,0.2464,
2010-12-26,0.251,
2010-12-27,0.2612,
2010-12-28,0.271,
2010-12-29,0.291,
2010-12-30,0.292,
2010-12-31,0.292,
2011-01-01,0.289,
2011-01-02,0.29,
2011-01-03,0.289,
2011-01-04,0.29,
2011-01-05,0.29,
2011-01-06,0.2975,
2011-01-07,0.309,
2011-01-08,0.3229,
2011-01-09,0.3175,
2011-01-10,0.3176,
2011-01-11,0.318,
2011-01-12,0.3176,
2011-01-13,0.3176,
2011-01-14,0.385,
2011-01-15,0.386,
2011-01-16,0.315,
2011-01-17,0.305,
2011-01-18,0.305,
2011-01-19,0.31,
2011-01-20,0.368,
2011-01-21,0.39,
2011-01-22,0.42,
2011-01-23,0.381,
2011-01-24,0.4,
2011-01-25,0.3904,
2011-01-26,0.4085,
2011-01-27,0.4212,
2011-01-28,0.43,
2011-01-29,0.445,
2011-01-30,0.47,
2011-01-31,0.5201,
2011-02-01,0.69,
2011-02-02,0.6501,
2011-02-03,0.67,
2011-02-04,0.8115,
2011-02-05,0.83,
2011-02-06,0.83,
2011-02-07,0.8617,
2011-02-08,0.82,
2011-02-09,0.8,
2011-02-10,0.9264,
2011-02-11,0.9906,
2011-02-12,1.02,
2011-02-13,1.03,
2011-02-14,1.03,
2011-02-15,1.02,
2011-02-16,1.02,
2011-02-17,0.7801,
2011-02-18,0.8376,
2011-02-19,0.83,
2011-02-20,0.8313,
2011-02-21,0.8313,
2011-02-22,0.8681,
2011-02-23,0.9,
2011-02-24,0.9111,
2011-02-25,0.9106,
2011-02-26,0.89,
2011-02-27,0.845,
2011-02-28,0.8502,
2011-03-01,0.9102,
2011-03-02,0.91,
2011-03-03,0.9001,
2011-03-04,0.8111,
2011-03-05,0.81,
2011-03-06,0.846,
2011-03-07,0.85,
2011-03-08,0.85,
2011-03-09,0.8497,
2011-03-10,0.8601,
2011-03-11,0.88,
2011-03-12,0.8898,
2011-03-13,0.88,
2011-03-14,0.87,
2011-03-15,0.836,
2011-03-16,0.81,
2011-03-17,0.71,
2011-03-18,0.7313,
2011-03-19,0.7402,
2011-03-20,0.7405,
2011-03-21,0.7405,
2011-03-22,0.78,
2011-03-23,0.8266,
2011-03-24,0.861,
2011-03-25,0.841,
2011-03-26,0.8152,
2011-03-27,0.76,
2011-03-28,0.7648,
2011-03-29,0.766,
2011-03-30,0.768,
2011-03-31,0.7741,
2011-04-01,0.7741,
2011-04-02,0.777,
2011-04-03,0.5619,
2011-04-04,0.58,
2011-04-05,0.6902,
2011-04-06,0.7205,
2011-04-07,0.7309,
2011-04-08,0.7205,
2011-04-09,0.71,
2011-04-10,0.7103,
2011-04-11,0.7703,
2011-04-12,0.86,
2011-04-13,0.91,
2011-04-14,0.911,
2011-04-15,0.9541,
2011-04-16,1.03,
2011-04-17,1.11,
