,Symbols,Weights,Exp_Return,Std_Deviation,Sharpe
0,BAGIX,0.1219,0.027327718775722404,0.5192270139280887,0.052631542740777366
1,JDMNX,0.8386,0.16845587761241254,1.9327200683412453,0.08715999816620604
2,SEECX,0.0395,0.16499665725914964,2.0569080310817816,0.08021586515580553
3,403b_all_years_target_opt,1.0,0.15119999999999997,1.6884000000000001,0.08955223880597014
4,BAGIX,0.1853,0.02141380772378665,0.4176544276067954,0.05127159275310467
5,DFFVX,0.0137,0.19624236833707465,1.8073553055503533,0.10857985020124052
6,JDMNX,0.1421,0.22902689871129356,1.2536587838401474,0.18268678978960237
7,PLGIX,0.1985,0.2677880577375007,1.4093338454198183,0.1900103787387089
8,RERGX,0.449,0.24000326806052819,1.1829696231936908,0.20288202110599066
9,SEECX,0.0113,0.18821923022890386,1.0747468363159618,0.17512889907551196
10,403b_6_months_target_opt,1.0,0.2016,0.882,0.22857142857142856
11,BAGIX,0.3304,0.03953840258853247,0.4670766762318833,0.08465077491667208
12,DFISX,0.0877,0.25947017495569846,1.183599318734938,0.21922129461262868
13,PLGIX,0.2564,0.288725527497818,1.3349676630204472,0.2162790421788634
14,RERGX,0.3255,0.28482222843282434,1.1995751307720535,0.23743592304177824
15,403b_1_year_target_opt,1.0,0.2016,0.7307999999999999,0.2758620689655173
